Version,Variable,Month,Departamento,n,rho,p_raw,q_FDR,sig_FDR
prim,RAIN,6,SANTANDER,20,-0.08296849665996237,0.7280239303823368,0.8033367507667165,False
prim,RAIN,6,SUCRE,20,0.8088783737659095,1.5776218595330455e-05,0.0004427551552374698,True
prim,RAIN,6,TOLIMA,20,-0.1068070778804323,0.6540192242214087,0.7474505419673242,False
prim,RAIN,6,VALLE DEL CAUCA,22,0.7264201721783002,0.00012907531826795591,0.0013768033948581965,True
prim,RAIN,6,VAUPES,6,-0.8116794499134278,0.04985758510134042,0.15084170744060243,False
prim,RAIN,6,VICHADA,3,,,,False
prim,RAIN,7,AMAZONAS,17,-0.07540380436887156,0.7736329518902317,0.7978089816368015,False
prim,RAIN,7,ANTIOQUIA,20,0.39338099810891614,0.086170647971629,0.258511943914887,False
prim,RAIN,7,ARAUCA,9,0.05857791861290061,0.8810067501468761,0.8810067501468761,False
prim,RAIN,7,ATLANTICO,18,0.4321252804118112,0.07331445042441623,0.24193768640057356,False
prim,RAIN,7,BOGOTA,19,0.18005882305790155,0.46073529666881186,0.6607672205967263,False
prim,RAIN,7,BOLIVAR,19,0.12153723385562214,0.6201433361959736,0.6945636718854881,False
prim,RAIN,7,BOYACA,21,0.4131211650168585,0.06269054367600224,0.24193768640057356,False
prim,RAIN,7,CALDAS,20,-0.6618847973187688,0.0014785523049773272,0.017774592762223568,True
prim,RAIN,7,CAQUETA,20,0.4152374635865327,0.06866076625089991,0.24193768640057356,False
prim,RAIN,7,CASANARE,19,-0.1893702734654004,0.43746985657346793,0.6607672205967263,False
prim,RAIN,7,CAUCA,18,0.4968946506009995,0.03592110908487632,0.16934237140013123,False
prim,RAIN,7,CESAR,20,0.2053674470503523,0.3850624129385736,0.6607672205967263,False
prim,RAIN,7,CHOCO,20,0.4904099632256468,0.028142582135020532,0.16934237140013123,False
prim,RAIN,7,CORDOBA,20,0.3595301521931703,0.11948720246861849,0.32858980678870087,False
prim,RAIN,7,CUNDINAMARCA,21,0.2418727662737892,0.2908239919589725,0.6398127823097396,False
prim,RAIN,7,GUAINIA,19,-0.2598964681223664,0.28257362547619497,0.6398127823097396,False
prim,RAIN,7,GUAVIARE,5,0.3689323936863109,0.5411457083064428,0.6614003101523189,False
prim,RAIN,7,HUILA,20,0.23175326349951572,0.32552431915637625,0.6470588235294116,False
prim,RAIN,7,LA GUAJIRA,20,0.1526304040994374,0.5206044768337843,0.6607672205967263,False
prim,RAIN,7,MAGDALENA,20,0.2544291610324725,0.27902300204526387,0.6398127823097396,False
prim,RAIN,7,META,19,-0.8029138014227685,3.500724580649146e-05,0.001155239111614218,True
prim,RAIN,7,NARINO,20,0.655817880929277,0.0016917134344059058,0.017774592762223568,True
prim,RAIN,7,NORTE DE SANTANDER,19,0.15824214042345497,0.5176119511020356,0.6607672205967263,False
prim,RAIN,7,PUTUMAYO,17,0.20180018252955825,0.4373302700929166,0.6607672205967263,False
prim,RAIN,7,QUINDIO,20,0.17606219265533055,0.4577811162821691,0.6607672205967263,False
prim,RAIN,7,RISARALDA,24,-0.10316942108811585,0.6314215198958982,0.6945636718854881,False
prim,RAIN,7,SAN ANDRES PROVIDENCIA,14,0.22822505602336193,0.43259056748366076,0.6607672205967263,False
prim,RAIN,7,SANTANDER,20,-0.12424598966289023,0.6017420276409942,0.6945636718854881,False
prim,RAIN,7,SUCRE,20,0.4800036887761965,0.03220080864452991,0.16934237140013123,False
prim,RAIN,7,TOLIMA,20,-0.15662668364735952,0.509611400566859,0.6607672205967263,False
prim,RAIN,7,VALLE DEL CAUCA,22,0.6184610535772547,0.0021544960923907354,0.017774592762223568,True
prim,RAIN,7,VAUPES,5,0.22360679774997896,0.7176856442107861,0.7639879438372884,False
prim,RAIN,7,VICHADA,3,0.8660254037844387,0.3333333333333332,0.6470588235294116,False
prim,RAIN,8,AMAZONAS,18,-0.5270577190616286,0.02460718113364194,0.10217364832238315,False
prim,RAIN,8,ANTIOQUIA,20,0.44360902255639095,0.05008922172295618,0.15022328028583784,False
prim,RAIN,8,ARAUCA,10,0.4620082131968491,0.178856585561847,0.3226557154502161,False
prim,RAIN,8,ATLANTICO,18,0.4103364104761216,0.09076766581201873,0.1996888647864412,False
prim,RAIN,8,BOGOTA,20,0.30845993694042245,0.1857714725319426,0.3226557154502161,False
prim,RAIN,8,BOLIVAR,19,0.27412150606978747,0.2560933556245353,0.384140033436803,False
prim,RAIN,8,BOYACA,20,0.5000005670281092,0.024769369290274703,0.10217364832238315,False
prim,RAIN,8,CALDAS,21,-0.4510459238480478,0.04014801535032903,0.1472093896178731,False
prim,RAIN,8,CAQUETA,19,0.4395459517582127,0.05969772003939087,0.15154036625383835,False
prim,RAIN,8,CASANARE,18,-0.291029805605324,0.24132926112435552,0.384140033436803,False
prim,RAIN,8,CAUCA,18,0.25340272385819457,0.31029711305728935,0.44520890134306734,False
prim,RAIN,8,CESAR,20,-0.20190662080502517,0.39329580288504984,0.5191504598082658,False
prim,RAIN,8,CHOCO,20,0.5934562285046555,0.005808783311045054,0.04441036332830035,True
prim,RAIN,8,CORDOBA,20,0.606607292598497,0.004572041563933638,0.04441036332830035,True
prim,RAIN,8,CUNDINAMARCA,21,0.35890797576110656,0.11009292698856307,0.22706666191391134,False
prim,RAIN,8,GUAINIA,18,0.18878960930584784,0.45310393240494184,0.522797026252414,False
prim,RAIN,8,GUAVIARE,6,-0.5590653920196746,0.24877100570170096,0.384140033436803,False
prim,RAIN,8,HUILA,20,0.40466343591318715,0.07676286956185846,0.18094104968152352,False
prim,RAIN,8,LA GUAJIRA,20,0.028442148980577616,0.9052512129469007,0.9335403133514913,False
prim,RAIN,8,MAGDALENA,20,0.15479832451166606,0.5146270797764104,0.5660897877540515,False
prim,RAIN,8,META,20,-0.7532024652186023,0.0001263526127915718,0.0041696362221218695,True
prim,RAIN,8,NARINO,20,-0.04382357447628412,0.8544425498942024,0.9095678756938284,False
prim,RAIN,8,NORTE DE SANTANDER,19,0.19115792785929298,0.43307479387325654,0.522797026252414,False
prim,RAIN,8,PUTUMAYO,17,0.5878527056295828,0.013074665540559652,0.07191066047307808,False
prim,RAIN,8,QUINDIO,20,0.1754282702764701,0.4594276897369699,0.522797026252414,False
prim,RAIN,8,RISARALDA,24,-0.3218897276483622,0.12505272388346816,0.24274940518555585,False
prim,RAIN,8,SAN ANDRES PROVIDENCIA,14,0.5236526821098637,0.05462664737666831,0.15022328028583784,False
prim,RAIN,8,SANTANDER,20,0.001515773645898882,0.994939665464624,0.994939665464624,False
prim,RAIN,8,SUCRE,20,0.585098613098766,0.0067288429285303555,0.04441036332830035,True
prim,RAIN,8,TOLIMA,20,0.18825322553769172,0.42671229460485216,0.522797026252414,False
prim,RAIN,8,VALLE DEL CAUCA,22,0.6390491109866279,0.001366641320401044,0.022549581786617225,True
prim,RAIN,8,VAUPES,4,-0.9486832980505139,0.05131670194948612,0.15022328028583784,False
prim,RAIN,8,VICHADA,3,0.8660254037844387,0.3333333333333332,0.4583333333333332,False
prim,RAIN,9,AMAZONAS,18,0.04291116943292654,0.8657466383399638,0.971738006126329,False
prim,RAIN,9,ANTIOQUIA,20,0.17928468703977857,0.44945789186886054,0.6180046013196833,False
prim,RAIN,9,ARAUCA,10,0.5785300076028639,0.07975393476604603,0.2193233206066266,False
prim,RAIN,9,ATLANTICO,18,0.29855387831792884,0.22881818148047978,0.37754999944279166,False
prim,RAIN,9,BOGOTA,20,0.033157582849344565,0.8896281785323344,0.971738006126329,False
prim,RAIN,9,BOLIVAR,18,0.47738873061851156,0.04512938945891163,0.14892698521440836,False
prim,RAIN,9,BOYACA,21,0.579785780928082,0.005871880424275358,0.039894988427669476,True
prim,RAIN,9,CALDAS,22,-0.4482176045956977,0.03643236471729009,0.13358533729673033,False
prim,RAIN,9,CAQUETA,19,0.3909227657598873,0.09793807745651915,0.24861204277424093,False
prim,RAIN,9,CASANARE,18,-0.30670431002723236,0.2157445786015656,0.37471426809745606,False
prim,RAIN,9,CAUCA,20,0.3276841969004356,0.15842591559570324,0.32675345091613794,False
prim,RAIN,9,CESAR,20,-0.07721472672308942,0.7462684584377415,0.9121058936461284,False
prim,RAIN,9,CHOCO,20,0.7954887218045112,2.7534156851806318e-05,0.00045431358805480426,True
prim,RAIN,9,CORDOBA,20,0.805623989866955,1.8133003511007678e-05,0.00045431358805480426,True
prim,RAIN,9,CUNDINAMARCA,21,0.26007824330514967,0.2548789433572665,0.3932028189410671,False
prim,RAIN,9,GUAINIA,16,0.3507230874031703,0.182902377466796,0.3467402582951679,False
prim,RAIN,9,GUAVIARE,9,0.009325048082403139,0.9810045445680444,0.9810045445680444,False
prim,RAIN,9,HUILA,20,0.5639097744360902,0.009606971537576621,0.04529000867714693,True
prim,RAIN,9,LA GUAJIRA,20,0.36721242040242597,0.11122564042878388,0.26217472386784774,False
prim,RAIN,9,MAGDALENA,20,0.027995441667003438,0.9067330580531753,0.971738006126329,False
