Departamento,date,sum_ValorObservado
AMAZONAS,2008-07-17,80.125
AMAZONAS,2008-07-18,75.91666666666667
AMAZONAS,2008-07-19,94.0
AMAZONAS,2008-07-20,88.8695652173913
AMAZONAS,2008-07-21,90.79166666666667
AMAZONAS,2008-07-22,90.79166666666667
AMAZONAS,2008-07-23,92.29166666666667
AMAZONAS,2008-07-24,88.25
AMAZONAS,2008-07-25,86.0
AMAZONAS,2008-07-26,87.88235294117646
AMAZONAS,2008-07-27,72.64285714285714
AMAZONAS,2008-07-28,88.85714285714286
AMAZONAS,2008-07-29,91.75
AMAZONAS,2008-07-30,89.1304347826087
AMAZONAS,2008-07-31,87.91666666666667
AMAZONAS,2008-08-01,82.54166666666667
AMAZONAS,2008-08-02,83.08333333333333
AMAZONAS,2008-08-03,86.41666666666667
AMAZONAS,2008-08-04,88.76470588235294
AMAZONAS,2008-08-05,86.0
AMAZONAS,2008-08-06,86.66666666666667
AMAZONAS,2008-08-07,88.875
AMAZONAS,2008-08-08,85.375
AMAZONAS,2008-08-09,89.16666666666667
AMAZONAS,2008-08-10,88.58333333333333
AMAZONAS,2008-08-11,85.20833333333333
AMAZONAS,2008-08-12,80.20833333333333
AMAZONAS,2008-08-13,85.79166666666667
AMAZONAS,2008-08-14,80.82352941176471
AMAZONAS,2008-08-15,72.3125
AMAZONAS,2008-08-16,81.41666666666667
AMAZONAS,2008-08-17,82.41666666666667
AMAZONAS,2008-08-18,82.91666666666667
AMAZONAS,2008-08-19,89.91666666666667
AMAZONAS,2008-08-20,88.33333333333333
AMAZONAS,2008-08-21,85.16666666666667
AMAZONAS,2008-08-22,90.70833333333333
AMAZONAS,2008-08-23,88.25
AMAZONAS,2008-08-24,85.625
AMAZONAS,2008-08-25,90.0
AMAZONAS,2008-08-26,85.5
AMAZONAS,2008-08-27,92.79166666666667
AMAZONAS,2008-08-28,80.47826086956522
AMAZONAS,2008-08-29,77.83333333333333
AMAZONAS,2008-08-30,91.52380952380952
AMAZONAS,2008-08-31,82.0909090909091
AMAZONAS,2008-09-01,89.1304347826087
AMAZONAS,2008-09-02,83.29166666666667
AMAZONAS,2008-09-03,88.33333333333333
AMAZONAS,2008-09-04,83.29166666666667
AMAZONAS,2008-09-05,90.75
AMAZONAS,2008-09-06,87.83333333333333
AMAZONAS,2008-09-07,84.41666666666667
AMAZONAS,2008-09-08,85.79166666666667
AMAZONAS,2008-09-09,84.95833333333333
AMAZONAS,2008-09-10,86.79166666666667
AMAZONAS,2008-09-11,87.36363636363636
AMAZONAS,2008-09-12,85.41666666666667
AMAZONAS,2008-09-13,86.54166666666667
AMAZONAS,2008-09-14,91.70833333333333
AMAZONAS,2008-09-15,85.625
AMAZONAS,2008-09-16,92.5
AMAZONAS,2008-09-17,90.41666666666667
AMAZONAS,2008-09-18,87.66666666666667
AMAZONAS,2008-09-19,79.75
AMAZONAS,2008-09-20,80.54166666666667
AMAZONAS,2008-09-21,94.45833333333333
AMAZONAS,2008-09-22,93.625
AMAZONAS,2008-09-23,85.43478260869566
AMAZONAS,2008-09-24,77.95833333333333
AMAZONAS,2008-09-26,91.77272727272727
AMAZONAS,2008-09-27,83.45833333333333
AMAZONAS,2008-09-28,84.58333333333333
AMAZONAS,2008-09-29,77.95833333333333
AMAZONAS,2008-09-30,84.08333333333333
AMAZONAS,2008-10-01,88.625
AMAZONAS,2008-10-02,80.29166666666667
AMAZONAS,2008-10-03,78.79166666666667
AMAZONAS,2008-10-04,78.78260869565217
AMAZONAS,2008-10-05,78.25
AMAZONAS,2008-10-06,91.79166666666667
AMAZONAS,2008-10-07,86.29166666666667
AMAZONAS,2008-10-08,87.83333333333333
AMAZONAS,2008-10-09,83.79166666666667
AMAZONAS,2008-10-10,82.625
AMAZONAS,2008-10-11,82.79166666666667
AMAZONAS,2008-10-12,86.79166666666667
AMAZONAS,2008-10-13,93.27272727272727
AMAZONAS,2008-10-14,90.19047619047619
AMAZONAS,2008-10-15,87.41666666666667
AMAZONAS,2008-10-16,84.41666666666667
AMAZONAS,2008-10-17,85.75
AMAZONAS,2008-10-18,87.70833333333333
AMAZONAS,2008-10-19,89.0
AMAZONAS,2008-10-20,88.30434782608695
AMAZONAS,2008-10-21,90.58333333333333
AMAZONAS,2008-10-22,94.70833333333333
AMAZONAS,2008-10-23,88.25
AMAZONAS,2008-10-24,91.47826086956522
AMAZONAS,2008-10-25,81.0
AMAZONAS,2008-10-26,93.16666666666667
AMAZONAS,2008-10-27,84.45833333333333
AMAZONAS,2008-10-28,86.08695652173913
AMAZONAS,2008-10-29,80.5
AMAZONAS,2008-10-30,82.86363636363636
AMAZONAS,2008-10-31,83.95833333333333
AMAZONAS,2008-11-01,88.73913043478261
AMAZONAS,2008-11-02,91.69565217391305
AMAZONAS,2008-11-03,91.16666666666667
AMAZONAS,2008-11-04,88.08695652173913
AMAZONAS,2008-11-05,82.875
AMAZONAS,2008-11-06,81.29166666666667
AMAZONAS,2008-11-07,77.79166666666667
AMAZONAS,2008-11-08,75.22727272727273
AMAZONAS,2008-11-09,83.75
AMAZONAS,2008-11-10,84.9047619047619
AMAZONAS,2008-11-11,83.375
AMAZONAS,2008-11-12,83.33333333333333
AMAZONAS,2008-11-13,83.0
AMAZONAS,2008-11-14,82.0
AMAZONAS,2008-11-15,86.04347826086956
AMAZONAS,2008-11-16,88.16666666666667
AMAZONAS,2008-11-17,83.125
AMAZONAS,2008-11-18,90.375
AMAZONAS,2008-11-19,86.45833333333333
AMAZONAS,2008-11-20,78.875
AMAZONAS,2008-11-21,93.20833333333333
AMAZONAS,2008-11-22,94.25
AMAZONAS,2008-11-23,87.5
AMAZONAS,2008-11-24,88.08333333333333
AMAZONAS,2008-11-25,90.95833333333333
AMAZONAS,2008-11-26,90.68181818181819
AMAZONAS,2008-11-27,92.79166666666667
AMAZONAS,2008-11-28,86.45833333333333
AMAZONAS,2008-11-29,90.45833333333333
AMAZONAS,2008-11-30,94.29166666666667
AMAZONAS,2008-12-01,88.41666666666667
AMAZONAS,2008-12-02,84.70833333333333
AMAZONAS,2008-12-03,85.70833333333333
AMAZONAS,2008-12-04,92.375
AMAZONAS,2008-12-05,82.46666666666667
AMAZONAS,2008-12-06,90.77272727272727
AMAZONAS,2008-12-07,80.19047619047619
AMAZONAS,2008-12-08,78.35714285714286
AMAZONAS,2008-12-09,81.26315789473684
AMAZONAS,2008-12-10,86.29166666666667
AMAZONAS,2008-12-11,91.91304347826087
AMAZONAS,2008-12-12,90.95833333333333
AMAZONAS,2008-12-13,89.4375
AMAZONAS,2008-12-14,78.22222222222223
AMAZONAS,2008-12-15,85.20833333333333
AMAZONAS,2008-12-16,81.0
AMAZONAS,2008-12-17,82.52173913043478
AMAZONAS,2008-12-18,94.10526315789474
AMAZONAS,2008-12-19,89.2
AMAZONAS,2008-12-20,92.375
AMAZONAS,2008-12-21,90.625
AMAZONAS,2008-12-22,90.83333333333333
AMAZONAS,2008-12-23,92.58333333333333
AMAZONAS,2008-12-24,91.125
AMAZONAS,2008-12-25,85.66666666666667
AMAZONAS,2008-12-26,90.875
AMAZONAS,2008-12-27,93.54166666666667
AMAZONAS,2008-12-28,86.0
AMAZONAS,2008-12-29,88.08333333333333
AMAZONAS,2008-12-30,88.375
AMAZONAS,2008-12-31,86.58333333333333
AMAZONAS,2009-01-01,84.08333333333333
AMAZONAS,2009-01-02,83.82608695652173
AMAZONAS,2009-01-03,92.0
AMAZONAS,2009-01-04,88.66666666666667
AMAZONAS,2009-01-05,88.29166666666667
AMAZONAS,2009-01-06,88.45833333333333
