Departamento,year,day,agg_ValorObservado
ANTIOQUIA,2023,11,59.77900000000011
ANTIOQUIA,2023,12,91.97200000000002
ANTIOQUIA,2023,13,58.96900000000005
ANTIOQUIA,2023,14,80.28499999999995
ANTIOQUIA,2023,15,24.882000000000016
ANTIOQUIA,2024,1,0.2
ANTIOQUIA,2024,2,0.1
ANTIOQUIA,2024,3,0.0
ANTIOQUIA,2024,4,0.0
ANTIOQUIA,2024,5,0.0
ANTIOQUIA,2024,6,0.0
ANTIOQUIA,2024,7,0.0
ANTIOQUIA,2024,8,0.0
ANTIOQUIA,2024,9,0.0
ANTIOQUIA,2024,10,0.0
ANTIOQUIA,2024,11,3.1
ANTIOQUIA,2024,12,0.0
ANTIOQUIA,2024,13,3.8
ANTIOQUIA,2024,14,0.0
ANTIOQUIA,2024,15,0.0
ANTIOQUIA,2025,1,421.8
ANTIOQUIA,2025,2,400.20000000000033
ANTIOQUIA,2025,3,1434.0000000000025
ANTIOQUIA,2025,4,1352.2000000000012
ANTIOQUIA,2025,5,2173.6000000000035
ANTIOQUIA,2025,6,469.7600000000001
ANTIOQUIA,2025,7,260.599999999999
ANTIOQUIA,2025,8,454.20000000000016
ANTIOQUIA,2025,9,567.9999999999993
ANTIOQUIA,2025,10,175.7999999999993
ANTIOQUIA,2025,11,168.3999999999994
ANTIOQUIA,2025,12,137.79999999999984
ANTIOQUIA,2025,13,111.60000000000002
ANTIOQUIA,2025,14,110.80000000000007
ANTIOQUIA,2025,15,130.3999999999999
ARAUCA,2018,1,57.800000000000004
ARAUCA,2018,2,39.199999999999996
ARAUCA,2018,3,23.499999999999996
ARAUCA,2018,4,21.300000000000004
ARAUCA,2018,5,17.1
ARAUCA,2018,6,25.2
ARAUCA,2018,7,14.200000000000003
ARAUCA,2018,8,18.8
ARAUCA,2018,9,22.1
ARAUCA,2018,10,10.700000000000001
ARAUCA,2018,11,35.3
ARAUCA,2018,12,32.00000000000001
ARAUCA,2018,13,40.2
ARAUCA,2018,14,33.800000000000004
ARAUCA,2018,15,27.0
ARAUCA,2019,1,73.00000000000001
ARAUCA,2019,2,80.0
ARAUCA,2019,3,44.099999999999994
ARAUCA,2019,4,50.40000000000001
ARAUCA,2019,5,58.39999999999999
ARAUCA,2019,6,35.70000000000001
ARAUCA,2019,7,38.4
ARAUCA,2019,8,41.7
ARAUCA,2019,9,70.89999999999999
ARAUCA,2019,10,3.7
ARAUCA,2019,11,0.0
ARAUCA,2019,12,0.0
ARAUCA,2019,13,0.0
ARAUCA,2019,14,0.0
ARAUCA,2019,15,0.0
ARAUCA,2020,1,2.0
ARAUCA,2020,2,3.400000000000001
ARAUCA,2020,3,3.0000000000000004
ARAUCA,2020,4,2.900000000000001
ARAUCA,2020,5,2.6999999999999997
ARAUCA,2020,6,3.7000000000000006
ARAUCA,2020,7,2.8000000000000003
ARAUCA,2020,8,5.800000000000001
ARAUCA,2020,9,2.2
ARAUCA,2020,10,3.7000000000000006
ARAUCA,2020,11,2.0
