Variable,Month,Baseline,Model,RMSE_model,RMSE_baseline,Skill,R2,CI_low,CI_high,DM_stat,DM_p
TEMP,6,Baseline,HGB,12.851054216022153,34.340163095864156,0.6257718933906316,0.6246900262072071,,,,
TEMP,6,DeptClim,Ridge,12.753995895774338,13.46567585698137,0.05285141041309538,0.6275245761994688,-0.13612107406078325,0.19707169471055622,-0.47339566710920045,0.6416214733508054
TEMP,6,DeptClim,RF,13.103280787157813,13.46567585698137,0.026912505073829696,0.6173238485994006,,,,
TEMP,6,DeptClim,HGB,12.851054216022153,13.46567585698137,0.04564357908857308,0.6246900262072071,,,,
TEMP,6,Persist,Ridge,12.753995895774338,3.4910239237705323,-2.653368230716447,0.6275245761994688,-3.7105460077393038,-1.9633688654889085,6.077051789636581,9.628447499965276e-06
TEMP,6,Persist,RF,13.103280787157813,3.4910239237705323,-2.75342050735803,0.6173238485994006,,,,
TEMP,6,Persist,HGB,12.851054216022153,3.4910239237705323,-2.6811704808204753,0.6246900262072071,,,,
TEMP,7,Baseline,Ridge,12.677375916513988,36.3230765347082,0.6509828702312639,0.6498654209417856,0.5730306217729852,0.7385013555696511,-9.231223282075346,3.014073679530327e-08
TEMP,7,Baseline,RF,13.570701940830547,36.3230765347082,0.6263889726448919,0.6251927809928208,,,,
TEMP,7,Baseline,HGB,13.096525022317584,36.3230765347082,0.6394433987494612,0.6382890034962797,,,,
TEMP,7,DeptClim,Ridge,12.677375916513988,13.954763772874871,0.09153776281357462,0.6498654209417856,-0.060952681673617545,0.24440499924928413,-0.9253640383935708,0.36701741889223727
TEMP,7,DeptClim,RF,13.570701940830547,13.954763772874871,0.027521915690959964,0.6251927809928208,,,,
TEMP,7,DeptClim,HGB,13.096525022317584,13.954763772874871,0.06150148899156027,0.6382890034962797,,,,
TEMP,7,Persist,Ridge,12.677375916513988,4.074999252622235,-2.111013065427234,0.6498654209417856,-3.5349966290690498,-1.3331262179963397,4.427612298528175,0.00032500442590133183
TEMP,7,Persist,RF,13.570701940830547,4.074999252622235,-2.3302342158953504,0.6251927809928208,,,,
TEMP,7,Persist,HGB,13.096525022317584,4.074999252622235,-2.2138717605629146,0.6382890034962797,,,,
