,Departamento,Year,Month/Day,Rain_day,Rain_month,Temp_day,Temp_month,Humi_day,Humi_month
277,CORDOBA,2006,9,0.0,186.60000000000002,27.376404494382022,28.02177057828047,,
278,CUNDINAMARCA,2006,9,9.899999999999991,897.4000000000002,15.755744680851064,16.34650248954259,,
279,GUAINIA,2006,9,0.0,0.0,26.186956521739123,26.603043124391046,,
280,GUAVIARE,2006,9,0.0,0.0,9.0,,,
281,HUILA,2006,9,16.2,15503.000000000002,21.37053571428572,21.149972395445957,,
282,LA GUAJIRA,2006,9,0.0,0.0,25.67916666666667,30.0345049776766,,
283,MAGDALENA,2006,9,0.0,138.29999999999998,,22.964786180897292,,
284,META,2006,9,0.0,0.0,26.94583333333333,25.950961180124228,,
285,NARINO,2006,9,0.0,0.0,15.740361445783131,11.611192220604417,,
286,NORTE DE SANTANDER,2006,9,0.2,0.0,22.504166666666663,27.869605854288366,,
287,PUTUMAYO,2006,9,0.0,0.0,,24.765575844537892,,
288,QUINDIO,2006,9,0.0,0.0,18.408888888888885,19.296384587676922,,
289,RISARALDA,2006,9,0.0,0.0,18.40121951219512,18.818551716994698,,
290,SAN ANDRES PROVIDENCIA,2006,9,0.0,0.0,,,,
291,SANTANDER,2006,9,1.7000000000000002,365.6000000000001,15.240566037735848,15.999413147453266,,
292,SUCRE,2006,9,0.0,23.1,24.660000000000004,26.808014091410648,,
293,TOLIMA,2006,9,47.500000000000014,7148.300000000002,24.77536231884058,19.98235891072852,,
294,VALLE DEL CAUCA,2006,9,0.0,0.0,21.13916083916084,22.60342916935961,,
295,VAUPES,2006,9,0.0,0.0,,,,
296,VICHADA,2006,9,0.0,0.0,,,,
297,AMAZONAS,2006,10,0.0,0.0,,,,
298,ANTIOQUIA,2006,10,17.8,67.69999999999999,19.573248407643312,19.231464178873924,75.08733624454149,84.07216172366164
299,ARAUCA,2006,10,0.0,0.0,,,,
300,ATLANTICO,2006,10,0.0,0.0,,27.044953974920006,,77.33580400577684
301,BOGOTA,2006,10,12.699999999999998,81.9,13.75,14.08148694164648,,
302,BOLIVAR,2006,10,0.0,0.0,,27.1958604765968,,83.83037118328143
303,BOYACA,2006,10,16.799999999999997,245.99999999999997,17.06783216783216,15.429659857077736,78.1867469879518,83.40453565734238
304,CALDAS,2006,10,0.0,0.0,17.114583333333336,17.644953879585344,84.1875,83.5146659638895
305,CAQUETA,2006,10,0.0,0.0,26.6375,24.980548655450598,81.16666666666667,86.8120799775569
306,CASANARE,2006,10,0.0,0.0,25.216666666666665,26.816273489250342,71.79166666666667,84.2641960073587
307,CAUCA,2006,10,0.0,4828.4,20.002678571428568,20.83991430572018,87.43859649122807,73.88806825713824
308,CESAR,2006,10,0.0,123.0,27.16938775510204,25.10479473825513,63.60416666666666,71.12862545695565
309,CHOCO,2006,10,0.0,429.49999999999994,25.98260869565217,15.853928571428572,,
310,CORDOBA,2006,10,0.0,84.4,27.89431818181817,27.7342407975746,,
311,CUNDINAMARCA,2006,10,36.6,2468.5,15.935146443514643,16.57584521167114,,
312,GUAINIA,2006,10,0.0,0.0,25.821739130434786,26.541149576508566,,
313,GUAVIARE,2006,10,0.0,0.0,9.0,,,
314,HUILA,2006,10,7.3,9185.700000000003,21.452586206896555,21.0215143330682,,
315,LA GUAJIRA,2006,10,0.0,0.0,26.299999999999997,29.268417439269474,,
316,MAGDALENA,2006,10,0.0,375.0,,21.55389129899529,,
317,META,2006,10,0.0,0.0,26.47916666666666,26.341044546851,,
318,NARINO,2006,10,0.0,0.0,15.20242424242424,13.720079018092928,,
319,NORTE DE SANTANDER,2006,10,0.0,29.8,24.6625,23.139757312355076,,
320,PUTUMAYO,2006,10,0.0,0.0,,26.049044988827593,,
321,QUINDIO,2006,10,0.0,0.0,18.055555555555557,18.593148086817706,,
322,RISARALDA,2006,10,0.0,0.0,18.01875,18.13887260934314,,
323,SAN ANDRES PROVIDENCIA,2006,10,0.0,0.0,,,,
324,SANTANDER,2006,10,33.0,609.8000000000001,15.564661654135334,16.367234391087962,,
325,SUCRE,2006,10,0.0,0.0,24.157692307692308,26.5048355945244,,
326,TOLIMA,2006,10,28.399999999999995,818.0000000000001,25.06315789473684,19.37300174390869,,
327,VALLE DEL CAUCA,2006,10,0.0,0.0,21.28531468531469,22.30892247139015,,
328,VAUPES,2006,10,0.0,0.0,,,,
329,VICHADA,2006,10,0.0,0.0,,,,
330,AMAZONAS,2006,11,0.0,0.0,,,,
